QueryId,Query
Q0148,Whether I can pay the premium directly to bank by paying visit?
Q0149,What's the operating time of the customer zone?
Q0150,Can Only natural guardian be a appointee nominee?
Q0151,What are the mode of payments during pendency of the mandate?
Q0152,Can a single mandate be used for multiple policies?
Q0153,What is premium under policy?
Q0154,Can minor child make nomination?
Q0155,How i will come to know the loan amount available under the policy?
Q0156,Whether any online loan quotation will be available?
Q0157,What is the SMS charge for getting loan information through SMS?
Q0158,My loan has been fully recovered from survival benefit. Whether I should receive original policy document
Q0159,When will I get the bonus payment?
Q0160,What are the different reasons of mandate rejections?
Q0161,Does LIC charges any fee for nomination?
Q0162,How much alteration charges are required for mode change?
Q0163,In case of casualty of minor policyholder who will receive the money?
Q0164,Can i pay back loan in cash above fifty thousand?
Q0165,Can i pay the premium in advance?
Q0166,Can I pay back full loan amount anytime?
Q0167,Can I make nomination in favour of my friend though my spouse or father mother is present?
Q0168,Whether any fee is charged to get loan quotation?
Q0169,Do I need sign of agent for nomination?
Q0170,Whether LIC will grant the loan under the policy?
Q0171,"How many days of grace are allowed under yearly, half- yearly or quarterly mode of payment?"
Q0172,Whether extra paid for non-standard age proof will be removed after submission of standard age proof?
Q0173,What are the services available online in customer portal?
Q0174,What is mean by age proof?
Q0175,Are you there?
Q0176,How to register for premium payment through bill Pay/ATM?
Q0177,What are the benefits of assignment to policyholder?
Q0178,What is difference between absolute assignment and conditional assignment?
Q0179,How much of the surrender value I will get as a Loan?
Q0180,Enquire about loan repayment?
Q0181,What is meant by re-assignment?
Q0182,Why signature is not present in my receipt?
Q0183,Can nomination be done when the Policy is lapsed?
Q0184,What action should I take if the bank rejects my NACH mandate?
Q0185,Tell me about assignment?
Q0186,Where can one use successive type of nomination?
Q0187,What value should be written for‚ FROM DATE‚ (Start Date) field?
Q0188,How much insurance do I need?
Q0189,What are all the policy types which could be registered through bill pay?
Q0190,How to download NACH mandate form?
Q0191,Why my premium status is not updated on payment through service provider/bank?
Q0192,Are there any downloading options given in the portal ?
Q0193,Is any relation will be there between age and premium to be calculated under the policy?
Q0194,"I want to apply for the loan, what are the requirements?"
Q0195,Whether there are charges for payments through debit cards?
Q0196,What is the condition for proportionate adjustment of loan amount?
Q0197,"My loan has been fully recovered from maturity claim, whether I will get original policy document"
Q0198,Where can I repay my loan?
Q0199,"Under online loan facility, where i will submit loan requirements?"
Q0200,Who else has the authority to assing the policy other than the policy holder?
Q0201,Can assignee make Nomination in favor of his/ her family?
Q0202,Can I change my nominee?
Q0203,Nomination is possible in policies financed by HUF fund?
Q0204,How to apply for loan?
Q0205,Can i get a loan on the same policy again?
Q0206,How to add the policy details at the authorized bank/service provider's website?
Q0207,What other prints can I take?
Q0208,What documents are required for applying loan?
Q0209,Whether assignment for valuable consideration will cancel the nomination?
Q0210,Can I pay my full loan amount in the nearest branch?
Q0211,What are the types of assignment?
Q0212,Whether can I assign the policy for part of the sum assured?
Q0213,I have paid twice at EBPP portal.
Q0214,Why should I buy policy online?
Q0215,What is premium redirection?
Q0216,Where i will get the information for taking online loan under the policy?
Q0217,What is NEFT?
Q0218,What should I do to get the maturity money from the policy?
Q0219,I am not able to pay the arrears of premium at once.
Q0220,Whether any concession is granted by LIC to pay the premium on due date?
Q0221,What are the restrictions put on sum assured for submitting non-standard age proof?
Q0222,Can I submit standard age proof after issue of policy where non-standard age proof is submitted earlier?
Q0223,"I took loan on my policy but could not reapy, now my policy is closed. What should I do?"
Q0224,I did not receive your annuity on due date.
Q0225,What do you mean by non-standard age proof?
Q0226,"I have fully repaid loan and loan interest, whether I will get my policy document back"
Q0227,Whether any SMS is being sent policy holder for paying loan interest?
Q0228,What is the minimum amount of loan I can get from my policy?
Q0229,Want to change mode quarterly to yearly in my policy.
Q0230,How the premium is fixed under the policy?
Q0231,How are you?
Q0232,Whether nominee is having any right during the life time of the life assured?
Q0233,What are the benefits of paying LIC premiums through net-banking/phone-banking?
Q0234,What are the different annuity options?
Q0235,What is bill pay facility of paying premium?
Q0236,What will happen if I do not pay the premium on due date?
Q0237,How can I exercise nomination of my LIC policies?
Q0238,Can you give the details of the requirements for maturity claim?
Q0239,Is there any additional charges for registration of assignment reqest?
Q0240,Whether policy should be inforce for granting the loan?
Q0241,Whether LIC can refuse loan under the policy?
Q0242,What documents should be submitted for doing assignment?
Q0243,Can I pay the premium through mobile?
Q0244,"I have taken policy under MWP act, whether I can raise the loan?"
Q0245,How can I get the claim if the policy holder is no more?
Q0246,How to register with the authorised banks?
Q0247,Whether nominee can raise loan under the policy?
Q0248,I have lost my original policy document. Whether I will be eligible to get loan?
Q0249,While raising the loan under the policy whether consent of nominee is required?
Q0250,Can loan be paid partially?
Q0251,What are different online payment methods?
Q0252,Can I cancel nomination without consent of nominee?
Q0253,"I have forgotten to pay my premium within days of grace, What will happen to my policy now?"
Q0254,Can I do loan cum revival?
Q0255,What is importance of age proof?
Q0256,Can I pay the premium through any franchisees?
Q0257,Whether monthly EMI facility is available for repayment of loan?
Q0258,How the method of proportionate adjustment of loan will work?
Q0259,How long will you take to answer my query?
Q0260,How far from here?
Q0261,Can I take loan on Policy without knowledge of nominee?
Q0262,"I have lost my policy document, whether I should get duplicate policy first?"
Q0263,Whether assignment can be done in favour of two or more persons?
Q0264,Am I eligible for assignment?
Q0265,Are there any SMS services avaible for customers?
Q0266,What are types of revival?
Q0267,What is the difference between basic and premier services ?
Q0268,Whether I can raise loan as per my need?
Q0269,What are the types of non standard age proof?
Q0270,My policy is a Joint life policy do I need to make nominations?
Q0271,Can nomination be done in assigned policy?
Q0272,Are women eligible for Life Insurance?
Q0273,Nomination is possible in case of MWP ACT policies?
Q0274,I want to check nomination under my Policy.
Q0275,I want to known branch address
Q0276,What is existence certificate?
Q0277,I need information about appointee in nomination.
Q0278,How can I pay premium using NACH?
Q0279,"For taking loan under the policy, whether i have bring any surety?"
Q0280,What are the limitations of assigning a policy to a minor?
Q0281,"How to contact customer care?"""
